CODMORPHOCIMO3|LIBMORPHOCIMO3|MORPHO_IACR|GROUPE_MORPHO_IACR|REG_5|REG_14|REG_17
85123|Carcinome médullaire à stroma lymphoïde|Adenocarcinomas|3|5||17
85133|Carcinome médullaire atypique (C50.-)|Adenocarcinomas|3|5||17
85143|Carcinome canalaire de type desmoplasique|Adenocarcinomas|3|5||17
85202|Carcinome lobulaire in situ, SAI (C50.-)|Adenocarcinomas|3|5||17
85203|Carcinome lobulaire, SAI (C50.-)|Adenocarcinomas|3|5||17
85213|Carcinome canaliculaire infiltrant (C50.-)|Adenocarcinomas|3|5||17
85222|Carcinome intracanalaire et carcinome lobulaire in situ (C50.-)|Adenocarcinomas|3|5||17
85223|Carcinome canalaire et lobulaire infiltrant (C50.-)|Adenocarcinomas|3|5||17
85233|Carcinome canalaire infiltrant avec autres types de carcinomes (C50.-)|Adenocarcinomas|3|5||17
85243|Carcinome lobulaire infiltrant avec autres types de carcinomes (C50.-)|Adenocarcinomas|3|5||17
85253|Adénocarcinome polymorphe de bas grade|Adenocarcinomas|3|5||17
85303|Carcinome inflammatoire (C50.-)|Adenocarcinomas|3|5||17
85403|Maladie de Paget du sein (C50.-)|Adenocarcinomas|3|5||17
85413|Maladie de Paget et carcinome canalaire infiltrant du sein (C50.-)|Adenocarcinomas|3|5||17
85423|Maladie de Paget extramammaire (à l’exclusion de la maladie de Paget de l’os)|Adenocarcinomas|3|5||17
85433|Maladie de Paget et carcinome intracanalaire du sein (C50.-)|Adenocarcinomas|3|5||17
85500|Adénome à cellules acineuses|Adenocarcinomas|3|5||17
85501|Tumeur à cellules acineuses [obs]|Adenocarcinomas|3|5||17
85503|Adénocarcinome à cellules acineuses|Adenocarcinomas|3|5||17
85513|Cystadénocarcinome à cellules acineuses|Adenocarcinomas|3|5||17
85600|Papillome mixte glandulaire et spinocellulaire|Other specific carcinomas|4|5||17
85603|Carcinome adénosquameux|Other specific carcinomas|4|5||17
85610|Adénolymphome (C07.-, C08.-)|Other specific carcinomas|4|5||17
85623|Carcinome épithélialmyoépithélial|Other specific carcinomas|4|5||17
85703|Adénocarcinome avec métaplasie malpighienne|Adenocarcinomas|3|5||17
85713|Adénocarcinome avec métaplasie cartilagineuse et osseuse|Adenocarcinomas|3|5||17
85723|Adénocarcinome avec métaplasie fusocellulaire|Adenocarcinomas|3|5||17
85733|Adénocarcinome avec métaplasie apocrine|Adenocarcinomas|3|5||17
85743|Adénocarcinome avec différenciation neuroendocrinienne|Adenocarcinomas|3|5||17
85753|Carcinome métaplasique, SAI|Adenocarcinomas|3|5||17
85763|Adénocarcinome hépatoïde|Adenocarcinomas|3|5||17
85800|Thymome bénin (C37.9)|Other specific carcinomas|4|5||17
85801|Thymome, SAI (C37.9)|Other specific carcinomas|4|5||17
85803|Thymome malin, SAI (C37.9)|Other specific carcinomas|4|5||17
85811|Thymome de type A, SAI (C37.9)|Other specific carcinomas|4|5||17
85813|Thymome malin de type A (C37.9)|Other specific carcinomas|4|5||17
85821|Thymome de type AB, SAI (C37.9)|Other specific carcinomas|4|5||17
85823|Thymome malin de type AB (C37.9)|Other specific carcinomas|4|5||17
85831|Thymome de type B1, SAI (C37.9)|Other specific carcinomas|4|5||17
85833|Thymome malin de type B1 (C37.9)|Other specific carcinomas|4|5||17
85841|Thymome de type B2, SAI (C37.9)|Other specific carcinomas|4|5||17
85843|Thymome malin de type B2 (C37.9)|Other specific carcinomas|4|5||17
85851|Thymome de type B3, SAI (C37.9)|Other specific carcinomas|4|5||17
85853|Thymome malin de type B3 (C37.9)|Other specific carcinomas|4|5||17
85863|Carcinome thymique, SAI (C37.9)|Other specific carcinomas|4|5||17
85870|Thymome hamartomateux ectopique|Other specific carcinomas|4|5||17
85883|Tumeur épithéliale fusiforme avec éléments d’allure thymique|Other specific carcinomas|4|5||17
85893|Carcinome présentant des éléments d’allure thymique|Other specific carcinomas|4|5||17
85901|Tumeur des cordons sexuels et du stroma gonadique, SAI|Other specific carcinomas|4|5||17
85911|Tumeur des cordons sexuels et du stroma gonadique, partiellement différenciée|Other specific carcinomas|4|5||17
85921|Tumeur des cordons sexuels et du stroma gonadique, formes mixtes|Other specific carcinomas|4|5||17
85931|Tumeur du stroma gonadique avec peu d’éléments de cordons sexuels (C56.9)|Other specific carcinomas|4|5||17
86000|Thécome, SAI (C56.9)|Other specific carcinomas|4|5||17
86003|Thécome malin (C56.9)|Other specific carcinomas|4|5||17
86010|Thécome lutéinisé (C56.9)|Other specific carcinomas|4|5||17
86020|Tumeur stromale sclérosante (C56.9)|Other specific carcinomas|4|5||17
86100|Lutéome, SAI (C56.9)|Other specific carcinomas|4|5||17
86201|Tumeur de la granulosa de type adulte (C56.9)|Other specific carcinomas|4|5||17
86203|Tumeur maligne de la granulosa (C56.9)|Other specific carcinomas|4|5||17
86211|Tumeur de la granulosa et de la thèque (C56.9)|Other specific carcinomas|4|5||17
86221|Tumeur de la granulosa juvénile (C56.9)|Other specific carcinomas|4|5||17
86231|Tumeur des cordons sexuels avec tubules annulaires (C56.9)|Other specific carcinomas|4|5||17
86300|Androblastome bénin|Other specific carcinomas|4|5||17
86301|Androblastome, SAI|Other specific carcinomas|4|5||17
86303|Androblastome malin|Other specific carcinomas|4|5||17
86310|Tumeur à cellules de Sertoli-Leydig, bien différenciée|Other specific carcinomas|4|5||17
86311|Tumeur à cellules de Sertoli-Leydig de différenciation intermédiaire|Other specific carcinomas|4|5||17
86313|Tumeur à cellules de Sertoli-Leydig, peu différenciée|Other specific carcinomas|4|5||17
86321|Gynandroblastome (C56.9)|Other specific carcinomas|4|5||17
86331|Tumeur rétiforme à cellules de Sertoli-Leydig|Other specific carcinomas|4|5||17
86341|Tumeur à cellules de Sertoli-Leydig, différenciation intermédiaire, avec éléments hétérologues|Other specific carcinomas|4|5||17
86343|Tumeur à cellules de Sertoli-Leydig, peu différenciée, avec éléments hétérologues|Other specific carcinomas|4|5||17
86401|Tumeur à cellules de Sertoli, SAI|Other specific carcinomas|4|5||17
86403|Carcinome à cellules de Sertoli (C62.-)|Other specific carcinomas|4|5||17
86410|Tumeur à cellules de Sertoli lipidiques (C56.9)|Other specific carcinomas|4|5||17
86421|Androblastome calcifiant à grandes cellules|Other specific carcinomas|4|5||17
86500|Tumeur bénigne à cellules de Leydig (C62.-)|Other specific carcinomas|4|5||17
86501|Tumeur à cellules de Leydig, SAI (C62.-)|Other specific carcinomas|4|5||17
86503|Tumeur maligne à cellules de Leydig (C62.-)|Other specific carcinomas|4|5||17
86600|Tumeur à cellules du hile (C56.9)|Other specific carcinomas|4|5||17
86700|Tumeur à cellules lipoïdiques de l’ovaire (C56.9)|Other specific carcinomas|4|5||17
86703|Tumeur maligne à cellules stéroïdiennes|Other specific carcinomas|4|5||17
86710|Tumeur des vestiges surrénaliens|Other specific carcinomas|4|5||17
86800|Paragangliome bénin|Sarcomas and soft tissue tumors|6|||17
86801|Paragangliome, SAI|Sarcomas and soft tissue tumors|6|||17
86803|Paragangliome malin|Sarcomas and soft tissue tumors|6|||17
86811|Paragangliome sympathique|Sarcomas and soft tissue tumors|6|||17
86821|Paragangliome parasympathique|Sarcomas and soft tissue tumors|6|||17
86830|Paragangliome gangliocytaire (C17.0)|Sarcomas and soft tissue tumors|6|||17
86901|Tumeur du glomus jugulaire, SAI (C75.5)|Sarcomas and soft tissue tumors|6|||17
86911|Tumeur du corpuscule aortique (C75.5)|Sarcomas and soft tissue tumors|6|||17
86921|Tumeur du corpuscule carotidien (C75.4)|Sarcomas and soft tissue tumors|6|||17
86931|Paragangliome extrasurrénalien, SAI|Sarcomas and soft tissue tumors|6|||17
86933|Paragangliome extrasurrénalien malin|Sarcomas and soft tissue tumors|6|||17
87000|Phéochromocytome, SAI (C74.1)|Sarcomas and soft tissue tumors|6|||17
87003|Phéochromocytome malin (C74.1)|Sarcomas and soft tissue tumors|6|||17
87103|Glomangiosarcome|Sarcomas and soft tissue tumors|6|||17
87110|Tumeur glomique, SAI|Sarcomas and soft tissue tumors|6|||17
87113|Tumeur glomique maligne|Sarcomas and soft tissue tumors|6|||17
87120|Glomangiome|Sarcomas and soft tissue tumors|6|||17
87130|Glomangiomyome|Sarcomas and soft tissue tumors|6|||17
87200|Nævus pigmentaire, SAI (C44.-)|Other specified types of cancer|16|||17
87202|Mélanome in situ|Other specified types of cancer|16|||17
87203|Mélanome malin, SAI (à l’exception du mélanome juvénile M-8770/0)|Other specified types of cancer|16|||17
87213|Mélanome nodulaire (C44.-)|Other specified types of cancer|16|||17
87220|Nævus à cellules ballonisées (C44.-)|Other specified types of cancer|16|||17
87223|Mélanome à cellules ballonisées (C44.-)|Other specified types of cancer|16|||17
87230|Nævus en halo (C44.-)|Other specified types of cancer|16|||17
87233|Mélanome malin régressant (C44.-)|Other specified types of cancer|16|||17
87250|Neuronævus (C44.-)|Other specified types of cancer|16|||17
87260|Nævus à grandes cellules (C69.4)|Other specified types of cancer|16|||17
87270|Nævus dysplasique (C44.-)|Other specified types of cancer|16|||17
87280|Mélanocytose diffuse (C70.9)|Other specified types of cancer|16|||17
87281|Mélanocytome méningé (C70.9)|Other specified types of cancer|16|||17
87283|Mélanomatose méningée (C70.9)|Other specified types of cancer|16|||17
87300|Nævus achromique (C44.-)|Other specified types of cancer|16|||17
87303|Mélanome achromique (C44.-)|Other specified types of cancer|16|||17
87400|Nævus de jonction, SAI (C44.-)|Other specified types of cancer|16|||17
87403|Mélanome malin sur enævus de jonction (C44.-)|Other specified types of cancer|16|||17
87412|Mélanose précancéreuse, SAI (C44.-)|Other specified types of cancer|16|||17
87413|Mélanome malin sur mélanose précancéreuse (C44.-)|Other specified types of cancer|16|||17
87422|Lentigo malin (C44.-)|Other specified types of cancer|16|||17
87423|Mélanome malin sur lentigo malin des vieillards (C44.-)|Other specified types of cancer|16|||17
87433|Mélanome à extension superficielle (C44.-)|Other specified types of cancer|16|||17
87443|Mélanome acral lentigineux malin (C44.-)|Other specified types of cancer|16|||17
87453|Mélanome malin desmoplasique (C44.-)|Other specified types of cancer|16|||17
87463|Mélanome muqueux lentigineux|Other specified types of cancer|16|||17
87500|Nævus intradermique (C44.-)|Other specified types of cancer|16|||17
87600|Nævus mixte (C44.-)|Other specified types of cancer|16|||17
87610|Petit nævus congénital (C44.-)|Other specified types of cancer|16|||17
87611|Nævus pigmentaire géant, SAI (C44.-)|Other specified types of cancer|16|||17
87613|Mélanome malin sur nævus pigmentaire géant (C44.-)|Other specified types of cancer|16|||17
87621|Lésion dermique proliférative sur nævus congénital (C44.-)|Other specified types of cancer|16|||17
87700|Nævus à cellules épithélioïdes et à cellules fusiformes (C44.-)|Other specified types of cancer|16|||17
87703|Mélanome à cellules épithélioïdes et à cellules fusiformes|Other specified types of cancer|16|||17
87710|Nævus à cellules épithélioïdes (C44.-)|Other specified types of cancer|16|||17
87713|Mélanome à cellules épithélioïdes|Other specified types of cancer|16|||17
87720|Nævus à cellules fusiformes, SAI (C44.-)|Other specified types of cancer|16|||17
87723|Mélanome à cellules fusiformes, SAI|Other specified types of cancer|16|||17
87733|Mélanome à cellules fusiformes de type A (C69.-)|Other specified types of cancer|16|||17
87743|Mélanome à cellules fusiformes de type B (C69.-)|Other specified types of cancer|16|||17
87800|Nævus bleu, SAI (C44.-)|Other specified types of cancer|16|||17
87803|Nævus bleu malin (C44.-)|Other specified types of cancer|16|||17
87900|Nævus bleu cellulaire (C44.-)|Other specified types of cancer|16|||17
88000|Tumeur bénigne des tissus mous|Sarcomas and soft tissue tumors|6|||17
88003|Sarcome, SAI|Sarcomas and soft tissue tumors|6|||17
88009|Sarcomatose, SAI|Sarcomas and soft tissue tumors|6|||17
88013|Sarcome à cellules fusiformes|Sarcomas and soft tissue tumors|6|||17
88023|Sarcome à cellules géantes (à l’exception de l’os M-9250/3)|Sarcomas and soft tissue tumors|6|||17
88033|Sarcome à petites cellules|Sarcomas and soft tissue tumors|6|||17
88043|Sarcome épithélioïde|Sarcomas and soft tissue tumors|6|||17
88053|Sarcome indifférencié|Sarcomas and soft tissue tumors|6|||17
88063|Tumeur desmoplastique à petites cellules rondes|Sarcomas and soft tissue tumors|6|||17
88100|Fibrome, SAI|Sarcomas and soft tissue tumors|6|||17
88101|Fibrome cellulaire (C56.9)|Sarcomas and soft tissue tumors|6|||17
88103|Fibrosarcome, SAI|Sarcomas and soft tissue tumors|6|||17
88110|Fibromyxome|Sarcomas and soft tissue tumors|6|||17
88113|Fibromyxosarcome|Sarcomas and soft tissue tumors|6|||17
88120|Fibrome périostique (C40.-, C41.-)|Sarcomas and soft tissue tumors|6|||17
88123|Fibrosarcome périostique (C40.-, C41.-)|Sarcomas and soft tissue tumors|6|||17
88130|Fibrome des fascias|Sarcomas and soft tissue tumors|6|||17
88133|Fibrosarcome des fascias|Sarcomas and soft tissue tumors|6|||17
88143|Fibrosarcome infantile|Sarcomas and soft tissue tumors|6|||17
88150|Tumeur fibreuse solitaire|Sarcomas and soft tissue tumors|6|||17
88153|Tumeur fibreuse solitaire maligne|Sarcomas and soft tissue tumors|6|||17
88200|Élastofibrome|Sarcomas and soft tissue tumors|6|||17
88211|Fibromatose agressive|Sarcomas and soft tissue tumors|6|||17
88221|Fibromatose abdominale|Sarcomas and soft tissue tumors|6|||17
88230|Fibrome desmoplasique|Sarcomas and soft tissue tumors|6|||17
88240|Myofibrome|Sarcomas and soft tissue tumors|6|||17
88241|Myofibromatose|Sarcomas and soft tissue tumors|6|||17
88250|Myofibroblastome|Sarcomas and soft tissue tumors|6|||17
88251|Tumeur myofibroblastique, SAI|Sarcomas and soft tissue tumors|6|||17
88260|Angiomyofibroblastome|Sarcomas and soft tissue tumors|6|||17
88271|Tumeur myofibroblastique péribronchique (C34.-)|Sarcomas and soft tissue tumors|6|||17
88300|Histiocytome fibreux bénin|Sarcomas and soft tissue tumors|6|||17
88301|Histiocytome fibreux atypique|Sarcomas and soft tissue tumors|6|||17
88303|Histiocytome fibreux malin|Sarcomas and soft tissue tumors|6|||17
88310|Histiocytome, SAI|Sarcomas and soft tissue tumors|6|||17
88320|Dermatofibrome, SAI (C44.-)|Sarcomas and soft tissue tumors|6|||17
88323|Dermatofibrosarcome, SAI (C44.-)|Sarcomas and soft tissue tumors|6|||17
88333|Dermatofibrosarcome protubérant pigmenté (C44.-)|Sarcomas and soft tissue tumors|6|||17
88341|Fibroblastome à cellules géantes|Sarcomas and soft tissue tumors|6|||17
88351|Tumeur fibrohistiocytaire plexiforme|Sarcomas and soft tissue tumors|6|||17
88361|Histiocytome fibreux angiomatoïde|Sarcomas and soft tissue tumors|6|||17
88400|Myxome, SAI|Sarcomas and soft tissue tumors|6|||17
88403|Myxosarcome|Sarcomas and soft tissue tumors|6|||17
88411|Angiomyxome|Sarcomas and soft tissue tumors|6|||17
88420|Tumeur fibromyxoïde ossifiante|Sarcomas and soft tissue tumors|6|||17
88500|Lipome, SAI|Sarcomas and soft tissue tumors|6|||17
88501|Lipome atypique|Sarcomas and soft tissue tumors|6|||17
88503|Liposarcome, SAI|Sarcomas and soft tissue tumors|6|||17
88510|Fibrolipome|Sarcomas and soft tissue tumors|6|||17
88513|Liposarcome bien différencié|Sarcomas and soft tissue tumors|6|||17
88520|Fibromyxolipome|Sarcomas and soft tissue tumors|6|||17
88523|Liposarcome myxoïde|Sarcomas and soft tissue tumors|6|||17
88533|Liposarcome à cellules rondes|Sarcomas and soft tissue tumors|6|||17
88540|Lipome pléomorphe|Sarcomas and soft tissue tumors|6|||17
88543|Liposarcome pléomorphe|Sarcomas and soft tissue tumors|6|||17
88553|Liposarcome à cellularité mixte|Sarcomas and soft tissue tumors|6|||17
88560|Lipome intramusculaire|Sarcomas and soft tissue tumors|6|||17
88570|Lipome à cellules fusiformes|Sarcomas and soft tissue tumors|6|||17
88573|Liposarcome fibroblastique|Sarcomas and soft tissue tumors|6|||17
88583|Liposarcome dédifférencié|Sarcomas and soft tissue tumors|6|||17
88600|Angiomyolipome|Sarcomas and soft tissue tumors|6|||17
88610|Angiolipome, SAI|Sarcomas and soft tissue tumors|6|||17
88620|Lipome chondroïde|Sarcomas and soft tissue tumors|6|||17
88700|Myélolipome|Sarcomas and soft tissue tumors|6|||17
88800|Hibernome|Sarcomas and soft tissue tumors|6|||17
88810|Lipoblastomatose|Sarcomas and soft tissue tumors|6|||17
88900|Léiomyome, SAI|Sarcomas and soft tissue tumors|6|||17
88901|Léiomyomatose, SAI|Sarcomas and soft tissue tumors|6|||17
88903|Léiomyosarcome, SAI|Sarcomas and soft tissue tumors|6|||17
88910|Léiomyome épithélioïde|Sarcomas and soft tissue tumors|6|||17
88913|Léiomyosarcome épithélioïde|Sarcomas and soft tissue tumors|6|||17
88920|Léiomyome cellulaire|Sarcomas and soft tissue tumors|6|||17
88930|Léiomyome bizarre|Sarcomas and soft tissue tumors|6|||17
88940|Angiomyome|Sarcomas and soft tissue tumors|6|||17
88943|Angiomyosarcome|Sarcomas and soft tissue tumors|6|||17
88950|Myome|Sarcomas and soft tissue tumors|6|||17
88953|Myosarcome|Sarcomas and soft tissue tumors|6|||17
88963|Leiomyosarcome myxoïde|Sarcomas and soft tissue tumors|6|||17
88971|Tumeur des muscles lisses à potentiel malin incertain|Sarcomas and soft tissue tumors|6|||17
88981|Leiomyome métastasant|Sarcomas and soft tissue tumors|6|||17
89000|Rhabdomyome, SAI|Sarcomas and soft tissue tumors|6|||17
89003|Rhabdomyosarcome, SAI|Sarcomas and soft tissue tumors|6|||17
89013|Rhabdomyosarcome pléomorphe de type l’adulte|Sarcomas and soft tissue tumors|6|||17
89023|Rhabdomyosarcome à cellularité mixte|Sarcomas and soft tissue tumors|6|||17
89030|Rhabdomyome foetal|Sarcomas and soft tissue tumors|6|||17
89040|Rhabdomyome adulte|Sarcomas and soft tissue tumors|6|||17
89050|Rhabdomyome génital (C51.-, C52.9)|Sarcomas and soft tissue tumors|6|||17
89103|Rhabdomyosarcome embryonnaire, SAI|Sarcomas and soft tissue tumors|6|||17
89123|Rhabdomyosarcome à cellules fusiformes|Sarcomas and soft tissue tumors|6|||17
89203|Rhabdomyosarcome alvéolaire|Sarcomas and soft tissue tumors|6|||17
89213|Rhabdomyosarcome avec différenciation ganglionnaire|Sarcomas and soft tissue tumors|6|||17
89300|Nodule du stroma endométrial (C54.1)|Other specified types of cancer|16|||17
89303|Sarcome du stroma endométrial , SAI (C54.1)|Other specified types of cancer|16|||17
89313|Sarcome du stroma endométrial de bas grade (C54.1)|Other specified types of cancer|16|||17
89320|Adénomyome|Other specified types of cancer|16|||17
89333|Adénosarcome|Other specified types of cancer|16|||17
89343|Carcinofibrome|Other specified types of cancer|16|||17
89350|Tumeur stromale bénigne|Other specified types of cancer|16|||17
89351|Tumeur stromale, SAI|Other specified types of cancer|16|||17
89353|Sarcome stromal, SAI|Other specified types of cancer|16|||17
89360|Tumeur bénigne du stroma gastro-intestinal|Other specified types of cancer|16|||17
89361|Tumeur du stroma gastro-intestinal, SAI|Other specified types of cancer|16|||17
89363|Sarcome du stroma gastro-intestinal|Other specified types of cancer|16|||17
89400|Adénome polymorphe|Adenocarcinomas|3|5||17
89403|Tumeur mixte maligne, SAI|Adenocarcinomas|3|5||17
89413|Carcinome sur adénome pléomorphe (C07.-, C08.-)|Adenocarcinomas|3|5||17
89503|Mulleroblastome (C54.-)|Other specified types of cancer|16|||17
89513|Tumeur mixte mésodermique|Other specified types of cancer|16|||17
89590|Néphrome kystique bénin (C64.9)|Other specified types of cancer|16|||17
89591|Néphroblastome kystique partiellement différencié (C64.9)|Other specified types of cancer|16|||17
89593|Néphrome kystique malin (C64.9)|Other specified types of cancer|16|||17
89601|Néphrome mésoblastique|Other specified types of cancer|16|||17
89603|Néphroblastome, SAI (C64.9)|Other specified types of cancer|16|||17
89633|Tumeur rhabdoïde maligne|Other specified types of cancer|16|||17
89643|Sarcome à cellules claires du rein (C64.9)|Other specified types of cancer|16|||17
89650|Adénofibrome néphrogène (C64.9)|Other specified types of cancer|16|||17
89660|Tumeur à cellules interstitielles rénomédullaires (C64.9)|Other specified types of cancer|16|||17
89670|Tumeur rénale ossifiante (C64.9)|Other specified types of cancer|16|||17
89703|Hépatoblastome (C22.0)|Other specified types of cancer|16|||17
89713|Pancréatoblastome (C25.-)|Other specified types of cancer|16|||17
89723|Blastome pulmonaire (C34.-)|Other specified types of cancer|16|||17
89733|Blastome pleuropulmonaire|Other specified types of cancer|16|||17
89741|Sialoblastome|Other specified types of cancer|16|||17
89803|Carcinosarcome, SAI Esthésio-neuroblastome (C30.0)|Other specified types of cancer|16|||17
89813|Carcinosarcome de type embryonnaire|Other specified types of cancer|16|||17
89820|Myoépithéliome|Other specified types of cancer|16|||17
89823|Myoépithéliome malin|Other specified types of cancer|16|||17
89830|Adénomyoépithéliome (C50.-)|Other specified types of cancer|16|||17
89900|Mésenchymome bénin|Sarcomas and soft tissue tumors|6|||17
89901|Mésenchymome, SAI|Sarcomas and soft tissue tumors|6|||17
89903|Mésenchymome malin|Sarcomas and soft tissue tumors|6|||17
89913|Sarcome embryonnaire|Sarcomas and soft tissue tumors|6|||17
90000|Tumeur de Brenner, SAI (C56.9)|Other specified types of cancer|16|||17
90001|Tumeur de Brenner à la limite de la malignité (C56.9)|Other specified types of cancer|16|||17
90003|Tumeur de Brenner maligne (C56.9)|Other specified types of cancer|16|||17
90100|Fibroadénome, SAI (C50.-)|Other specified types of cancer|16|||17
90110|Fibroadénome intracanaliculaire, (C50.-)|Other specified types of cancer|16|||17
90120|Fibroadénome péricanaliculaire (C50.-)|Other specified types of cancer|16|||17
90130|Adénofibrome, SAI|Other specified types of cancer|16|||17
90140|Adénofibrome séreux, SAI|Other specified types of cancer|16|||17
90141|Adénofibrome séreux à la limite de la malignité|Other specified types of cancer|16|||17
90143|Adénocarcinofibrome séreux|Other specified types of cancer|16|||17
90150|Adénofibrome mucineux, SAI|Other specified types of cancer|16|||17
90151|Adénofibrome mucineux à la limite de la malignité|Other specified types of cancer|16|||17
90153|Adénocarcinofibrome mucineux|Other specified types of cancer|16|||17
90160|Fibro-adénome géant (C50.-)|Other specified types of cancer|16|||17
90200|Tumeur phyllode bénigne (C50.-)|Other specified types of cancer|16|||17
90201|Tumeur phyllode à la limite de la malignité (C50.-)|Other specified types of cancer|16|||17
90203|Tumeur phyllode maligne (C50.-)|Other specified types of cancer|16|||17
90300|Fibroadénome juvénile (C50.-)|Other specified types of cancer|16|||17
90400|Synoviome bénin|Sarcomas and soft tissue tumors|6|||17
90403|Sarcome synovial, SAI|Sarcomas and soft tissue tumors|6|||17
90413|Sarcome synovial à cellules fusiformes|Sarcomas and soft tissue tumors|6|||17
90423|Sarcome synovial à cellules épithélioïdes|Sarcomas and soft tissue tumors|6|||17
90433|Sarcome synovial biphasique|Sarcomas and soft tissue tumors|6|||17
90443|Sarcome à cellules claires (sauf du rein, voir M-8964/3)|Sarcomas and soft tissue tumors|6|||17
90500|Mésothéliome bénin|Mesotheliomas|7|||17
90503|Mésothéliome malin|Mesotheliomas|7|||17
90510|Mésothéliome fibreux bénin|Mesotheliomas|7|||17
90513|Mésothéliome fibreux malin|Mesotheliomas|7|||17
90520|Mésothéliome épithélioïde bénin|Mesotheliomas|7|||17
90523|Mésothéliome épithélioïde malin|Mesotheliomas|7|||17
90533|Mésothéliome biphasique malin|Mesotheliomas|7|||17
90540|Tumeur adénomatoïde, SAI|Mesotheliomas|7|||17
90550|Mésothéliome polykystique bénin|Mesotheliomas|7|||17
90551|Mésothéliome kystique, SAI (C48.-)|Mesotheliomas|7|||17
90603|Dysgerminome|Other specified types of cancer|16|||17
90613|Séminome, SAI (C62.-)|Other specified types of cancer|16|||17
90623|Séminome anaplasique (C62.-)|Other specified types of cancer|16|||17
90633|Séminome spermatocytaire (C62.-)|Other specified types of cancer|16|||17
90642|Cellules germinales intratubulaires malignes (C62.-)|Other specified types of cancer|16|||17
90643|Germinome|Other specified types of cancer|16|||17
90653|Tumeur à cellules germinales, non séminomateuse (C62.-)|Other specified types of cancer|16|||17
90703|Carcinome embryonnaire, SAI|Other specified types of cancer|16|||17
90713|Tumeur vitelline|Other specified types of cancer|16|||17
90723|Polyembryome|Other specified types of cancer|16|||17
90731|Gonadoblastome|Other specified types of cancer|16|||17
90800|Tératome bénin|Other specified types of cancer|16|||17
90801|Tératome, SAI|Other specified types of cancer|16|||17
90803|Tératome malin, SAI|Other specified types of cancer|16|||17
90813|Tératocarcinome|Other specified types of cancer|16|||17
90823|Tératome malin indifférencié|Other specified types of cancer|16|||17
90833|Tératome malin de type intermédiaire|Other specified types of cancer|16|||17
90840|Kyste dermoïde, SAI|Other specified types of cancer|16|||17
90843|Kyste dermoïde avec transformation maligne (C56.9)|Other specified types of cancer|16|||17
90853|Tumeur mixte des cellules germinales|Other specified types of cancer|16|||17
90900|Goitre ovarien, SAI (C56.9)|Other specified types of cancer|16|||17
90903|Goitre ovarien cancérisé (C56.9)|Other specified types of cancer|16|||17
90911|Carcinoïde et goitre ovarien (C56.9)|Other specified types of cancer|16|||17
91000|Môle hydatiforme, SAI (C58.9)|Other specified types of cancer|16|||17
91001|Môle hydatiforme invasive, SAI (C58.9)|Other specified types of cancer|16|||17
91003|Choriocarcinome, SAI|Other specified types of cancer|16|||17
91013|Choriocarcinome avec autres éléments à cellules germinales|Other specified types of cancer|16|||17
91023|Tératome malin trophoblastique|Other specified types of cancer|16|||17
91030|Môle hydatiforme partielle (C58.9)|Other specified types of cancer|16|||17
91041|Tumeur trophoblastique du site placentaire (C58.9)|Other specified types of cancer|16|||17
91053|Tumeur trophoblastique épithélioïde|Other specified types of cancer|16|||17
91100|Mésonéphrome bénin|Other specified types of cancer|16|||17
91101|Tumeur mésonéphrique, SAI|Other specified types of cancer|16|||17
91103|Mésonéphrome malin|Other specified types of cancer|16|||17
91200|Hémangiome, SAI|Sarcomas and soft tissue tumors|6|||17
91203|Hémangiosarcome|Sarcomas and soft tissue tumors|6|||17
91210|Hémangiome caverneux|Sarcomas and soft tissue tumors|6|||17
91220|Hémangiome veineux|Sarcomas and soft tissue tumors|6|||17
91230|Hémangiome racémeux|Sarcomas and soft tissue tumors|6|||17
91243|Sarcome à cellules de Kupffer (C22.0)|Sarcomas and soft tissue tumors|6|||17
91250|Hémangiome épithélioïde|Sarcomas and soft tissue tumors|6|||17
91300|Hémangioendothéliome bénin|Sarcomas and soft tissue tumors|6|||17
91301|Hémangioendothéliome, SAI|Sarcomas and soft tissue tumors|6|||17
91303|Hémangioendothéliome malin|Sarcomas and soft tissue tumors|6|||17
91310|Hémangiome capillaire|Sarcomas and soft tissue tumors|6|||17
91320|Hémangiome intramusculaire|Sarcomas and soft tissue tumors|6|||17
91331|Hémangioendothéliome épithélioïde, SAI|Sarcomas and soft tissue tumors|6|||17
91333|Hémangioendothéliome épithélioïde malin|Sarcomas and soft tissue tumors|6|||17
91351|Angioendothéliome papillaire endovasculaire|Sarcomas and soft tissue tumors|6|||17
91361|Hémangioendothéliome à cellules fusiformes|Sarcomas and soft tissue tumors|6|||17
91403|Sarcome de Kaposi|Kaposi sarcomas|15|||17
91410|Angiokératome|Sarcomas and soft tissue tumors|6|||17
91420|Hémangiome verruqueux kératosique|Sarcomas and soft tissue tumors|6|||17
91500|Hémangiopéricytome bénin|Sarcomas and soft tissue tumors|6|||17
91501|Hémangiopéricytome, SAI|Sarcomas and soft tissue tumors|6|||17
91503|Hémangiopéricytome malin|Sarcomas and soft tissue tumors|6|||17
91600|Angiofibrome, SAI|Sarcomas and soft tissue tumors|6|||17
91610|Hémangiome pelotonné acquis|Sarcomas and soft tissue tumors|6|||17
91611|Hémangioblastome|Sarcomas and soft tissue tumors|6|||17
91700|Lymphangiome, SAI|Sarcomas and soft tissue tumors|6|||17
