CIMO3|LIBTOPOCIMO3|CODTOPOCIMO3|reg_codtopocimo3|reg_libtopocimo3|Topo_encr|TOPO_IACR|GROUPE_TOPO_IACR
C53.8|Lésion à localisations contiguës du col utérin|C538|C53|Col utérin|Col utérin|Col utérin|33
C53.1|Exocol|C531|C53|Col utérin|Col utérin|Col utérin|33
C53.0|Endocol|C530|C53|Col utérin|Col utérin|Col utérin|33
C54.9|Corps utérin|C549|C54|Corps utérin|Corps utérin|Corps utérin|34
C54.8|Lésion à localisations contiguës du corps de l'utérus|C548|C54|Corps utérin|Corps utérin|Corps utérin|34
C54.3|Fond utérin|C543|C54|Corps utérin|Corps utérin|Corps utérin|34
C54.2|Myomètre|C542|C54|Corps utérin|Corps utérin|Corps utérin|34
C54.1|Endomètre|C541|C54|Corps utérin|Corps utérin|Corps utérin|34
C54.0|Isthme de l'utérus|C540|C54|Corps utérin|Corps utérin|Corps utérin|34
C55.9|Utérus SAI|C559|C55|Uérus SAI|Utérus SAI|Utérus SAI|35
C56.9|Ovaire|C569|C56|Ovaire|Ovaire|Ovaire|36
C57.3|Paramètre|C573|C57|Organes génitaux féminins, autres et non spécifiés|Annexes utérines|Appareil génital féminin SAI|37
C57.2|Ligament rond|C572|C57|Organes génitaux féminins, autres et non spécifiés|Annexes utérines|Appareil génital féminin SAI|37
C57.1|Ligament large|C571|C57|Organes génitaux féminins, autres et non spécifiés|Annexes utérines|Appareil génital féminin SAI|37
C57.0|Trompe de Fallope|C570|C57|Organes génitaux féminins, autres et non spécifiés|Annexes utérines|Appareil génital féminin SAI|37
C57.9|Appareil génital féminin SAI|C579|C57|Organes génitaux féminins, autres et non spécifiés|Appareil génital féminin|Appareil génital féminin SAI|37
C57.8|Lésion à localisations contiguës des organes|C578|C57|Organes génitaux féminins, autres et non spécifiés|Appareil génital féminin|Appareil génital féminin SAI|37
C57.7|Autres régions spécifiées des organes génitaux|C577|C57|Organes génitaux féminins, autres et non spécifiés|Appareil génital féminin|Appareil génital féminin SAI|37
C57.4|Annexes de l'utérus|C574|C57|Organes génitaux féminins, autres et non spécifiés|Annexes utérines|Appareil génital féminin SAI|37
C58.9|Placenta|C589|C58|Placenta|Placenta|Placenta|38
C60.1|Gland|C601|C60|Verge|Organes génitaux masculins|Organes génitaux masculins|39
C60.2|Corps de la verge|C602|C60|Verge|Organes génitaux masculins|Organes génitaux masculins|39
C60.0|Prépuce|C600|C60|Verge|Organes génitaux masculins|Organes génitaux masculins|39
C60.9|Verge SAI|C609|C60|Verge|Organes génitaux masculins|Organes génitaux masculins|39
C60.8|Lésion à localisations contiguës de la verge|C608|C60|Verge|Organes génitaux masculins|Organes génitaux masculins|39
C61.9|Glande prostatique|C619|C61|Prostate|Prostate|Prostate|40
C62.9|Testicule SAI|C629|C62|Testicule|Testicule|Testicule|41
C62.1|Testicule intra-scrotal|C621|C62|Testicule|Testicule|Testicule|41
C62.0|Testicule ectopique (en tant que localisation néoplasique)|C620|C62|Testicule|Testicule|Testicule|41
C63.0|Épididyme|C630|C63|Organes génitaux masculins, autres et non spécifiés|Organes génitaux masculins|Organes génitaux masculins|39
C63.9|Organes génitaux masculins SAI|C639|C63|Organes génitaux masculins, autres et non spécifiés|Organes génitaux masculins|Organes génitaux masculins|39
C63.8|Lésion à localisations contiguës des organes masculins|C638|C63|Organes génitaux masculins, autres et non spécifiés|Organes génitaux masculins|Organes génitaux masculins|39
C63.7|Autres régions spécifiées des organes génitaux masculins|C637|C63|Organes génitaux masculins, autres et non spécifiés|Organes génitaux masculins|Organes génitaux masculins|39
C63.2|Scrotum SAI|C632|C63|Organes génitaux masculins, autres et non spécifiés|Organes génitaux masculins|Organes génitaux masculins|39
C63.1|Cordon spermatique|C631|C63|Organes génitaux masculins, autres et non spécifiés|Organes génitaux masculins|Organes génitaux masculins|39
C64.9|Rein SAI|C649|C64|Rein|Voies urinaires|Rein|42
C65.9|Bassinet|C659|C65|Bassinet|Voies urinaires|Voies urinaires|43
C66.9|Uretère|C669|C66|Uretère|Voies urinaires|Voies urinaires|43
C67.6|Orifice urétéral|C676|C67|Vessie|Vessie|Voies urinaires|43
C67.4|Paroi postérieure de la vessie|C674|C67|Vessie|Vessie|Voies urinaires|43
C67.7|Ouraque|C677|C67|Vessie|Vessie|Voies urinaires|43
C67.3|Paroi antérieure de la vessie|C673|C67|Vessie|Vessie|Voies urinaires|43
C67.2|Paroi latérale de la vessie|C672|C67|Vessie|Vessie|Voies urinaires|43
C67.1|Dôme de la vessie|C671|C67|Vessie|Vessie|Voies urinaires|43
C67.5|Col vésical|C675|C67|Vessie|Vessie|Voies urinaires|43
C67.0|Trigone de la vessie|C670|C67|Vessie|Vessie|Voies urinaires|43
C67.9|Vessie SAI|C679|C67|Vessie|Vessie|Voies urinaires|43
C67.8|Lésion à localisations contiguës de la vessie|C678|C67|Vessie|Vessie|Voies urinaires|43
C68.9|Appareil urinaire SAI|C689|C68|Organes urinaires, autres et non spécifiés|Voies urinaires|Voies urinaires|43
C68.8|Lésion à localisations contiguës de l' appareil urinaire|C688|C68|Organes urinaires, autres et non spécifiés|Voies urinaires|Voies urinaires|43
C68.1|Glande para-urétrale|C681|C68|Organes urinaires, autres et non spécifiés|Voies urinaires|Voies urinaires|43
C68.0|Urètre|C680|C68|Organes urinaires, autres et non spécifiés|Voies urinaires|Voies urinaires|43
C69.9|Œil SAI|C699|C69|Oeil et annexes|Oeil et annexes|Oeil et annexes|44
C69.8|Lésion à localisations contiguës de l'œil et des annexes|C698|C69|Oeil et annexes|Oeil et annexes|Oeil et annexes|44
C69.6|Orbite SAI|C696|C69|Oeil et annexes|Oeil et annexes|Oeil et annexes|44
C69.5|Glande lacrymale|C695|C69|Oeil et annexes|Oeil et annexes|Oeil et annexes|44
C69.4|Corps ciliaire|C694|C69|Oeil et annexes|Oeil et annexes|Oeil et annexes|44
C69.3|Choroïde|C693|C69|Oeil et annexes|Oeil et annexes|Oeil et annexes|44
C69.2|Rétine|C692|C69|Oeil et annexes|Oeil et annexes|Oeil et annexes|44
C69.1|Cornée SAI|C691|C69|Oeil et annexes|Oeil et annexes|Oeil et annexes|44
C69.0|Conjonctive|C690|C69|Oeil et annexes|Oeil et annexes|Oeil et annexes|44
C70.9|Méninges SAI|C709|C70|Méninges|Méninges|Méninges|45
C70.1|Méninges rachidiennes|C701|C70|Méninges|Méninges|Méninges|45
C70.0|Méninges cérébrales|C700|C70|Méninges|Méninges|Méninges|45
C71.8|Lésion à localisations contiguës du cerveau|C718|C71|Encéphale|Encéphale|Encéphale|46
C71.7|Tronc cérébral|C717|C71|Encéphale|Encéphale|Encéphale|46
C71.6|Cervelet SAI|C716|C71|Encéphale|Encéphale|Encéphale|46
C71.5|Ventricule SAI|C715|C71|Encéphale|Encéphale|Encéphale|46
C71.4|Lobe occipital|C714|C71|Encéphale|Encéphale|Encéphale|46
C71.3|Lobe pariétal|C713|C71|Encéphale|Encéphale|Encéphale|46
C71.2|Lobe temporal|C712|C71|Encéphale|Encéphale|Encéphale|46
C71.1|Lobe frontal|C711|C71|Encéphale|Encéphale|Encéphale|46
C71.0|Cerveau|C710|C71|Encéphale|Encéphale|Encéphale|46
C71.9|Encéphale SAI|C719|C71|Encéphale|Encéphale|Encéphale|46
C72.1|Queue de cheval|C721|C72|Moelle épinière, nerfs crâniens et autres régions du système nerveux central|Moelle épinière, nerfs crâniens et autres régions du système nerveux central|Moelle épinière, nerfs crâniens et autres régions du système nerveux central|47
C72.2|Nerf olfactif|C722|C72|Moelle épinière, nerfs crâniens et autres régions du système nerveux central|Moelle épinière, nerfs crâniens et autres régions du système nerveux central|Moelle épinière, nerfs crâniens et autres régions du système nerveux central|47
C72.8|Lésion à localisations contiguës du cerveau et du système nerveux central|C728|C72|Moelle épinière, nerfs crâniens et autres régions du système nerveux central|Moelle épinière, nerfs crâniens et autres régions du système nerveux central|Moelle épinière, nerfs crâniens et autres régions du système nerveux central|47
C72.4|Nerf acoustique (vestibulo-cochléaire)|C724|C72|Moelle épinière, nerfs crâniens et autres régions du système nerveux central|Moelle épinière, nerfs crâniens et autres régions du système nerveux central|Moelle épinière, nerfs crâniens et autres régions du système nerveux central|47
C72.9|Système nerveux SAI|C729|C72|Moelle épinière, nerfs crâniens et autres régions du système nerveux central|Moelle épinière, nerfs crâniens et autres régions du système nerveux central|Moelle épinière, nerfs crâniens et autres régions du système nerveux central|47
C72.3|Nerf optique|C723|C72|Moelle épinière, nerfs crâniens et autres régions du système nerveux central|Moelle épinière, nerfs crâniens et autres régions du système nerveux central|Moelle épinière, nerfs crâniens et autres régions du système nerveux central|47
C72.5|Nerf crânien SAI|C725|C72|Moelle épinière, nerfs crâniens et autres régions du système nerveux central|Moelle épinière, nerfs crâniens et autres régions du système nerveux central|Moelle épinière, nerfs crâniens et autres régions du système nerveux central|47
C72.0|Moelle épinière|C720|C72|Moelle épinière, nerfs crâniens et autres régions du système nerveux central|Moelle épinière, nerfs crâniens et autres régions du système nerveux central|Moelle épinière, nerfs crâniens et autres régions du système nerveux central|47
C73.9|Glande thyroïde|C739|C73|Glande thyroide|Glande thyroide|Glande thyroide|48
C74.9|Glande surrénale SAI|C749|C74|Glande surrénale|Autres glandes endocrines et structures apparentées|Autres glandes endocrines et structures apparentées|49
C74.1|Médullosurrénale|C741|C74|Glande surrénale|Autres glandes endocrines et structures apparentées|Autres glandes endocrines et structures apparentées|49
C74.0|Cortex surrénalien|C740|C74|Glande surrénale|Autres glandes endocrines et structures apparentées|Autres glandes endocrines et structures apparentées|49
C75.1|Glande hypophysaire|C751|C75|Autres glandes endocrines et structures apparentées|Autres glandes endocrines et structures apparentées|Autres glandes endocrines et structures apparentées|49
C75.0|Glande parathyroïde|C750|C75|Autres glandes endocrines et structures apparentées|Autres glandes endocrines et structures apparentées|Autres glandes endocrines et structures apparentées|49
C75.9|Glande endocrine SAI|C759|C75|Autres glandes endocrines et structures apparentées|Autres glandes endocrines et structures apparentées|Autres glandes endocrines et structures apparentées|49
C75.8|Lésion à localisations contiguës des glandes endocrines|C758|C75|Autres glandes endocrines et structures apparentées|Autres glandes endocrines et structures apparentées|Autres glandes endocrines et structures apparentées|49
C75.5|Corpuscule aortique et autres paraganglions|C755|C75|Autres glandes endocrines et structures apparentées|Autres glandes endocrines et structures apparentées|Autres glandes endocrines et structures apparentées|49
C75.4|Corpuscule carotidien|C754|C75|Autres glandes endocrines et structures apparentées|Autres glandes endocrines et structures apparentées|Autres glandes endocrines et structures apparentées|49
C75.3|Glande pinéale|C753|C75|Autres glandes endocrines et structures apparentées|Autres glandes endocrines et structures apparentées|Autres glandes endocrines et structures apparentées|49
C75.2|Canal craniopharyngé|C752|C75|Autres glandes endocrines et structures apparentées|Autres glandes endocrines et structures apparentées|Autres glandes endocrines et structures apparentées|49
C76.8|Lésion à localisations contiguës des régions mal définies|C768|C76|Autres localisations et localisations mal définies|Autres localisations et localisations mal définies|Autres localisations et localisations mal définies|50
C76.7|Autres régions mal définies|C767|C76|Autres localisations et localisations mal définies|Autres localisations et localisations mal définies|Autres localisations et localisations mal définies|50
C76.5|Membre inférieur SAI|C765|C76|Autres localisations et localisations mal définies|Autres localisations et localisations mal définies|Autres localisations et localisations mal définies|50
C76.4|Membre supérieur SAI|C764|C76|Autres localisations et localisations mal définies|Autres localisations et localisations mal définies|Autres localisations et localisations mal définies|50
C76.3|Bassin SAI|C763|C76|Autres localisations et localisations mal définies|Autres localisations et localisations mal définies|Autres localisations et localisations mal définies|50
C76.2|Abdomen SAI|C762|C76|Autres localisations et localisations mal définies|Autres localisations et localisations mal définies|Autres localisations et localisations mal définies|50
C76.1|Thorax SAI|C761|C76|Autres localisations et localisations mal définies|Autres localisations et localisations mal définies|Autres localisations et localisations mal définies|50
C76.0|Tête, face ou cou SAI|C760|C76|Autres localisations et localisations mal définies|Autres localisations et localisations mal définies|Autres localisations et localisations mal définies|50
C77.1|Ganglions lymphatiques intra-thoraciques|C771|C77|Ganglions lymphatiques|Ganglions lymphatiques|Ganglions lymphatiques|51
C77.0|Ganglions lymphatiques de la tête, de la face et du cou|C770|C77|Ganglions lymphatiques|Ganglions lymphatiques|Ganglions lymphatiques|51
C77.9|Ganglion lymphatique SAI|C779|C77|Ganglions lymphatiques|Ganglions lymphatiques|Ganglions lymphatiques|51
C77.8|Ganglions lymphatiques de régions multiples|C778|C77|Ganglions lymphatiques|Ganglions lymphatiques|Ganglions lymphatiques|51
C77.5|Ganglions lymphatiques pelviens|C775|C77|Ganglions lymphatiques|Ganglions lymphatiques|Ganglions lymphatiques|51
C77.4|Ganglions lymphatiques de la région inguinale ou de la jambe|C774|C77|Ganglions lymphatiques|Ganglions lymphatiques|Ganglions lymphatiques|51
C77.3|Ganglions lymphatiques de l'aisselle ou du bras|C773|C77|Ganglions lymphatiques|Ganglions lymphatiques|Ganglions lymphatiques|51
C77.2|Ganglions lymphatiques intra-abdominaux|C772|C77|Ganglions lymphatiques|Ganglions lymphatiques|Ganglions lymphatiques|51
C80.9|Siège primaire non précisé|C809|C80|Site primaire inconnu|Site primaire inconnu|Site primaire inconnu|52
